2014-12-04T21:27:06.718105089Z cache,rss,rss_huge,mapped_file,writeback,swap,pgpgin,pgpgout,pgfault,pgmajfault,inactive_anon,active_anon,inactive_file,active_file,unevictable,hierarchical_memory_limit,hierarchical_memsw_limit,total_cache,total_rss,total_rss_huge,total_mapped_file,total_writeback,total_swap,total_pgpgin,total_pgpgout,total_pgfault,total_pgmajfault,total_inactive_anon,total_active_anon,total_inactive_file,total_active_file,total_unevictable
2014-12-04T21:27:06.720240585Z 77824,76390400,65011712,32768,0,0,3369,541,4124,0,12288,76410880,32768,0,0,18446744073709551615,18446744073709551615,77824,76390400,65011712,32768,0,0,3369,541,4124,0,12288,76410880,32768,0,0
[2014-12-04T21:27:07.726748358Z] 81920,102240256,88080384,32768,0,0,4372,853,5184,0,16384,102248448,32768,0,0,18446744073709551615,18446744073709551615,81920,102240256,88080384,32768,0,0,4372,853,5184,0,16384,102248448,32768,0,0
[2014-12-04T21:27:08.733035391Z] 81920,102240256,88080384,32768,0,0,4372,853,5184,0,16384,102273024,32768,0,0,18446744073709551615,18446744073709551615,81920,102240256,88080384,32768,0,0,4372,853,5184,0,16384,102273024,32768,0,0
[2014-12-04T21:27:09.738318283Z] 81920,109031424,94371840,32768,0,0,4521,877,5334,0,16384,109064192,32768,0,0,18446744073709551615,18446744073709551615,81920,109031424,94371840,32768,0,0,4521,877,5334,0,16384,109064192,32768,0,0
[2014-12-04T21:27:10.742426429Z] 81920,113504256,98566144,32768,0,0,4611,897,5426,0,16384,113537024,32768,0,0,18446744073709551615,18446744073709551615,81920,113504256,98566144,32768,0,0,4611,897,5426,0,16384,113537024,32768,0,0
[2014-12-04T21:27:11.747899469Z] 81920,113512448,98566144,32768,0,0,4613,897,5432,0,16384,113545216,32768,0,0,18446744073709551615,18446744073709551615,81920,113512448,98566144,32768,0,0,4613,897,5432,0,16384,113545216,32768,0,0
[2014-12-04T21:27:12.751793318Z] 81920,115625984,100663296,32768,0,0,4618,897,5445,0,16384,115658752,32768,0,0,18446744073709551615,18446744073709551615,81920,115625984,100663296,32768,0,0,4618,897,5445,0,16384,115658752,32768,0,0
[2014-12-04T21:27:13.755623830Z] 81920,117805056,102760448,32768,0,0,4639,897,5474,0,16384,117837824,32768,0,0,18446744073709551615,18446744073709551615,81920,117805056,102760448,32768,0,0,4639,897,5474,0,16384,117837824,32768,0,0
[2014-12-04T21:27:14.760792783Z] 81920,120107008,104857600,32768,0,0,4690,897,5533,0,16384,120139776,32768,0,0,18446744073709551615,18446744073709551615,81920,120107008,104857600,32768,0,0,4690,897,5533,0,16384,120139776,32768,0,0
[2014-12-04T21:27:15.766880542Z] 81920,124801024,109051904,32768,0,0,4820,903,5668,0,16384,124833792,32768,0,0,18446744073709551615,18446744073709551615,81920,124801024,109051904,32768,0,0,4820,903,5668,0,16384,124833792,32768,0,0
[2014-12-04T21:27:16.771379049Z] 81920,124801024,109051904,32768,0,0,4820,903,5668,0,16384,124833792,32768,0,0,18446744073709551615,18446744073709551615,81920,124801024,109051904,32768,0,0,4820,903,5668,0,16384,124833792,32768,0,0
[2014-12-04T21:27:17.777134897Z] 81920,124801024,109051904,32768,0,0,4820,903,5668,0,16384,124833792,32768,0,0,18446744073709551615,18446744073709551615,81920,124801024,109051904,32768,0,0,4820,903,5668,0,16384,124833792,32768,0,0
[2014-12-04T21:27:18.783503610Z] 81920,124801024,109051904,32768,0,0,4820,903,5668,0,16384,124833792,32768,0,0,18446744073709551615,18446744073709551615,81920,124801024,109051904,32768,0,0,4820,903,5668,0,16384,124833792,32768,0,0
[2014-12-04T21:27:19.789106915Z] 81920,124801024,109051904,32768,0,0,4820,903,5668,0,16384,124833792,32768,0,0,18446744073709551615,18446744073709551615,81920,124801024,109051904,32768,0,0,4820,903,5668,0,16384,124833792,32768,0,0
[2014-12-04T21:27:20.796061004Z] 81920,124801024,109051904,32768,0,0,4820,903,5668,0,16384,124833792,32768,0,0,18446744073709551615,18446744073709551615,81920,124801024,109051904,32768,0,0,4820,903,5668,0,16384,124833792,32768,0,0
[2014-12-04T21:27:21.803487232Z] 81920,124801024,109051904,32768,0,0,4820,903,5668,0,16384,124833792,32768,0,0,18446744073709551615,18446744073709551615,81920,124801024,109051904,32768,0,0,4820,903,5668,0,16384,124833792,32768,0,0
[2014-12-04T21:27:22.808400915Z] 81920,124801024,109051904,32768,0,0,4820,903,5668,0,16384,124833792,32768,0,0,18446744073709551615,18446744073709551615,81920,124801024,109051904,32768,0,0,4820,903,5668,0,16384,124833792,32768,0,0
[2014-12-04T21:27:23.815613039Z] 81920,124801024,109051904,32768,0,0,4820,903,5668,0,16384,124833792,32768,0,0,18446744073709551615,18446744073709551615,81920,124801024,109051904,32768,0,0,4820,903,5668,0,16384,124833792,32768,0,0
[2014-12-04T21:27:24.822027693Z] 81920,124801024,109051904,32768,0,0,4820,903,5668,0,16384,124833792,32768,0,0,18446744073709551615,18446744073709551615,81920,124801024,109051904,32768,0,0,4820,903,5668,0,16384,124833792,32768,0,0
[2014-12-04T21:27:26.049774800Z] 81920,129662976,113246208,32768,0,0,4985,903,5852,0,16384,129695744,32768,0,0,18446744073709551615,18446744073709551615,81920,129662976,113246208,32768,0,0,4985,903,5852,0,16384,129695744,32768,0,0
[2014-12-04T21:27:26.931346008Z] 81920,143867904,125829120,32768,0,0,5425,941,6347,0,16384,143900672,32768,0,0,18446744073709551615,18446744073709551615,81920,143867904,125829120,32768,0,0,5425,941,6347,0,16384,143900672,32768,0,0
[2014-12-04T21:27:27.852127638Z] 81920,144556032,125829120,32768,0,0,5593,941,6529,0,16384,144588800,32768,0,0,18446744073709551615,18446744073709551615,81920,144556032,125829120,32768,0,0,5593,941,6529,0,16384,144588800,32768,0,0
[2014-12-04T21:27:28.859624631Z] 81920,147169280,127926272,32768,0,0,5720,941,6666,0,16384,147202048,32768,0,0,18446744073709551615,18446744073709551615,81920,147169280,127926272,32768,0,0,5720,941,6666,0,16384,147202048,32768,0,0
[2014-12-04T21:27:29.867109718Z] 81920,148410368,127926272,32768,0,0,6055,973,7028,0,16384,148443136,32768,0,0,18446744073709551615,18446744073709551615,81920,148410368,127926272,32768,0,0,6055,973,7028,0,16384,148443136,32768,0,0
[2014-12-04T21:27:31.240504189Z] 81920,148410368,127926272,32768,0,0,6055,973,7031,0,16384,148443136,32768,0,0,18446744073709551615,18446744073709551615,81920,148410368,127926272,32768,0,0,6055,973,7031,0,16384,148443136,32768,0,0
[2014-12-04T21:27:31.876665789Z] 81920,147984384,127926272,32768,0,0,6055,1077,7031,0,16384,148017152,32768,0,0,18446744073709551615,18446744073709551615,81920,147984384,127926272,32768,0,0,6055,1077,7031,0,16384,148017152,32768,0,0
[2014-12-04T21:27:32.879842430Z] 81920,148123648,127926272,32768,0,0,6089,1077,7068,0,16384,148156416,32768,0,0,18446744073709551615,18446744073709551615,81920,148123648,127926272,32768,0,0,6089,1077,7068,0,16384,148156416,32768,0,0
[2014-12-04T21:27:34.064846755Z] 81920,148226048,127926272,32768,0,0,6130,1093,7112,0,16384,148258816,32768,0,0,18446744073709551615,18446744073709551615,81920,148226048,127926272,32768,0,0,6130,1093,7112,0,16384,148258816,32768,0,0
[2014-12-04T21:27:34.889396655Z] 81920,148226048,127926272,32768,0,0,6130,1093,7114,0,16384,148258816,32768,0,0,18446744073709551615,18446744073709551615,81920,148226048,127926272,32768,0,0,6130,1093,7114,0,16384,148258816,32768,0,0
[2014-12-04T21:27:35.894383295Z] 81920,148226048,127926272,32768,0,0,6130,1093,7114,0,16384,148258816,32768,0,0,18446744073709551615,18446744073709551615,81920,148226048,127926272,32768,0,0,6130,1093,7114,0,16384,148258816,32768,0,0
[2014-12-04T21:27:36.898828248Z] 81920,147509248,127926272,32768,0,0,6131,1269,7118,0,16384,147542016,32768,0,0,18446744073709551615,18446744073709551615,81920,147509248,127926272,32768,0,0,6131,1269,7118,0,16384,147542016,32768,0,0
[2014-12-04T21:27:37.902950009Z] 81920,148934656,127926272,32768,0,0,6495,1285,7485,0,16384,148967424,32768,0,0,18446744073709551615,18446744073709551615,81920,148934656,127926272,32768,0,0,6495,1285,7485,0,16384,148967424,32768,0,0
[2014-12-04T21:27:38.906432205Z] 81920,148934656,127926272,32768,0,0,6495,1285,7485,0,16384,148967424,32768,0,0,18446744073709551615,18446744073709551615,81920,148934656,127926272,32768,0,0,6495,1285,7485,0,16384,148967424,32768,0,0
