2014-12-04T21:27:11.939769144Z cache,rss,rss_huge,mapped_file,writeback,swap,pgpgin,pgpgout,pgfault,pgmajfault,inactive_anon,active_anon,inactive_file,active_file,unevictable,hierarchical_memory_limit,hierarchical_memsw_limit,total_cache,total_rss,total_rss_huge,total_mapped_file,total_writeback,total_swap,total_pgpgin,total_pgpgout,total_pgfault,total_pgmajfault,total_inactive_anon,total_active_anon,total_inactive_file,total_active_file,total_unevictable
2014-12-04T21:27:11.944514639Z 102400,83877888,67108864,32768,0,0,5649,1498,7622,0,16384,83841024,40960,0,0,18446744073709551615,18446744073709551615,102400,83877888,67108864,32768,0,0,5649,1498,7622,0,16384,83841024,40960,0,0
[2014-12-04T21:27:12.949915104Z] 102400,115679232,96468992,32768,0,0,6737,1976,8768,0,12288,115728384,40960,0,0,18446744073709551615,18446744073709551615,102400,115679232,96468992,32768,0,0,6737,1976,8768,0,12288,115728384,40960,0,0
[2014-12-04T21:27:13.953846123Z] 102400,115679232,96468992,32768,0,0,6737,1976,8768,0,12288,115728384,40960,0,0,18446744073709551615,18446744073709551615,102400,115679232,96468992,32768,0,0,6737,1976,8768,0,12288,115728384,40960,0,0
[2014-12-04T21:27:14.957644611Z] 102400,115679232,96468992,32768,0,0,6737,1976,8768,0,12288,115728384,40960,0,0,18446744073709551615,18446744073709551615,102400,115679232,96468992,32768,0,0,6737,1976,8768,0,12288,115728384,40960,0,0
[2014-12-04T21:27:15.966335408Z] 102400,115679232,96468992,32768,0,0,6737,1976,8768,0,12288,115728384,40960,0,0,18446744073709551615,18446744073709551615,102400,115679232,96468992,32768,0,0,6737,1976,8768,0,12288,115728384,40960,0,0
[2014-12-04T21:27:16.972129085Z] 102400,115580928,96468992,32768,0,0,6737,2000,8768,0,12288,115630080,40960,0,0,18446744073709551615,18446744073709551615,102400,115580928,96468992,32768,0,0,6737,2000,8768,0,12288,115630080,40960,0,0
[2014-12-04T21:27:17.977535798Z] 102400,115580928,96468992,32768,0,0,6737,2000,8768,0,12288,115630080,40960,0,0,18446744073709551615,18446744073709551615,102400,115580928,96468992,32768,0,0,6737,2000,8768,0,12288,115630080,40960,0,0
[2014-12-04T21:27:18.981932314Z] 102400,115580928,96468992,32768,0,0,6737,2000,8768,0,12288,115630080,40960,0,0,18446744073709551615,18446744073709551615,102400,115580928,96468992,32768,0,0,6737,2000,8768,0,12288,115630080,40960,0,0
[2014-12-04T21:27:19.986643639Z] 102400,115580928,96468992,32768,0,0,6737,2000,8768,0,12288,115630080,40960,0,0,18446744073709551615,18446744073709551615,102400,115580928,96468992,32768,0,0,6737,2000,8768,0,12288,115630080,40960,0,0
[2014-12-04T21:27:20.994419497Z] 102400,115580928,96468992,32768,0,0,6737,2000,8768,0,12288,115630080,40960,0,0,18446744073709551615,18446744073709551615,102400,115580928,96468992,32768,0,0,6737,2000,8768,0,12288,115630080,40960,0,0
[2014-12-04T21:27:21.999026019Z] 102400,115580928,96468992,32768,0,0,6737,2000,8768,0,12288,115630080,40960,0,0,18446744073709551615,18446744073709551615,102400,115580928,96468992,32768,0,0,6737,2000,8768,0,12288,115630080,40960,0,0
[2014-12-04T21:27:23.003459070Z] 102400,115580928,96468992,32768,0,0,6737,2000,8768,0,12288,115630080,40960,0,0,18446744073709551615,18446744073709551615,102400,115580928,96468992,32768,0,0,6737,2000,8768,0,12288,115630080,40960,0,0
[2014-12-04T21:27:24.009141860Z] 102400,115580928,96468992,32768,0,0,6737,2000,8768,0,12288,115630080,40960,0,0,18446744073709551615,18446744073709551615,102400,115580928,96468992,32768,0,0,6737,2000,8768,0,12288,115630080,40960,0,0
[2014-12-04T21:27:25.017314790Z] 102400,115580928,96468992,32768,0,0,6737,2000,8768,0,12288,115630080,40960,0,0,18446744073709551615,18446744073709551615,102400,115580928,96468992,32768,0,0,6737,2000,8768,0,12288,115630080,40960,0,0
[2014-12-04T21:27:26.063334571Z] 102400,115580928,96468992,32768,0,0,6737,2000,8768,0,12288,115630080,40960,0,0,18446744073709551615,18446744073709551615,102400,115580928,96468992,32768,0,0,6737,2000,8768,0,12288,115630080,40960,0,0
[2014-12-04T21:27:27.044828946Z] 102400,115580928,96468992,32768,0,0,6737,2000,8768,0,12288,115630080,40960,0,0,18446744073709551615,18446744073709551615,102400,115580928,96468992,32768,0,0,6737,2000,8768,0,12288,115630080,40960,0,0
[2014-12-04T21:27:28.040294289Z] 102400,115580928,96468992,32768,0,0,6737,2000,8768,0,12288,115630080,40960,0,0,18446744073709551615,18446744073709551615,102400,115580928,96468992,32768,0,0,6737,2000,8768,0,12288,115630080,40960,0,0
