2014-12-04T21:27:13.578878682Z cache,rss,rss_huge,mapped_file,writeback,swap,pgpgin,pgpgout,pgfault,pgmajfault,inactive_anon,active_anon,inactive_file,active_file,unevictable,hierarchical_memory_limit,hierarchical_memsw_limit,total_cache,total_rss,total_rss_huge,total_mapped_file,total_writeback,total_swap,total_pgpgin,total_pgpgout,total_pgfault,total_pgmajfault,total_inactive_anon,total_active_anon,total_inactive_file,total_active_file,total_unevictable
2014-12-04T21:27:13.582162995Z 102400,83714048,65011712,32768,0,0,6079,1457,7989,0,16384,83705856,40960,0,0,18446744073709551615,18446744073709551615,102400,83714048,65011712,32768,0,0,6079,1457,7989,0,16384,83705856,40960,0,0
[2014-12-04T21:27:14.585296707Z] 102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0,18446744073709551615,18446744073709551615,102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0
[2014-12-04T21:27:15.589678434Z] 102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0,18446744073709551615,18446744073709551615,102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0
[2014-12-04T21:27:16.594530714Z] 102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0,18446744073709551615,18446744073709551615,102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0
[2014-12-04T21:27:17.599325385Z] 102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0,18446744073709551615,18446744073709551615,102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0
[2014-12-04T21:27:18.605140047Z] 102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0,18446744073709551615,18446744073709551615,102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0
[2014-12-04T21:27:19.610274696Z] 102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0,18446744073709551615,18446744073709551615,102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0
[2014-12-04T21:27:20.613868957Z] 102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0,18446744073709551615,18446744073709551615,102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0
[2014-12-04T21:27:21.617975457Z] 102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0,18446744073709551615,18446744073709551615,102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0
[2014-12-04T21:27:22.622146555Z] 102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0,18446744073709551615,18446744073709551615,102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0
[2014-12-04T21:27:23.626976119Z] 102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0,18446744073709551615,18446744073709551615,102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0
[2014-12-04T21:27:24.632762679Z] 102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0,18446744073709551615,18446744073709551615,102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0
[2014-12-04T21:27:25.682816495Z] 102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0,18446744073709551615,18446744073709551615,102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0
[2014-12-04T21:27:26.759562364Z] 102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0,18446744073709551615,18446744073709551615,102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0
[2014-12-04T21:27:27.662076823Z] 102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0,18446744073709551615,18446744073709551615,102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0
[2014-12-04T21:27:28.666515733Z] 102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0,18446744073709551615,18446744073709551615,102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0
[2014-12-04T21:27:29.676583788Z] 102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0,18446744073709551615,18446744073709551615,102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0
[2014-12-04T21:27:31.240449828Z] 102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0,18446744073709551615,18446744073709551615,102400,115453952,94371840,32768,0,0,7166,1949,9134,0,12288,115503104,40960,0,0
[2014-12-04T21:27:31.684008751Z] 102400,115453952,94371840,32768,0,0,7166,1949,9135,0,12288,115503104,40960,0,0,18446744073709551615,18446744073709551615,102400,115453952,94371840,32768,0,0,7166,1949,9135,0,12288,115503104,40960,0,0
[2014-12-04T21:27:32.688287587Z] 102400,115453952,94371840,32768,0,0,7166,1949,9135,0,12288,115503104,40960,0,0,18446744073709551615,18446744073709551615,102400,115453952,94371840,32768,0,0,7166,1949,9135,0,12288,115503104,40960,0,0
[2014-12-04T21:27:34.064744977Z] 102400,115453952,94371840,32768,0,0,7166,1949,9135,0,12288,115503104,40960,0,0,18446744073709551615,18446744073709551615,102400,115453952,94371840,32768,0,0,7166,1949,9135,0,12288,115503104,40960,0,0
[2014-12-04T21:27:34.696442387Z] 102400,115453952,94371840,32768,0,0,7166,1949,9135,0,12288,115503104,40960,0,0,18446744073709551615,18446744073709551615,102400,115453952,94371840,32768,0,0,7166,1949,9135,0,12288,115503104,40960,0,0
[2014-12-04T21:27:35.703556240Z] 102400,115453952,94371840,32768,0,0,7166,1949,9135,0,12288,115503104,40960,0,0,18446744073709551615,18446744073709551615,102400,115453952,94371840,32768,0,0,7166,1949,9135,0,12288,115503104,40960,0,0
[2014-12-04T21:27:36.707988052Z] 102400,115453952,94371840,32768,0,0,7166,1949,9135,0,12288,115503104,40960,0,0,18446744073709551615,18446744073709551615,102400,115453952,94371840,32768,0,0,7166,1949,9135,0,12288,115503104,40960,0,0
[2014-12-04T21:27:37.783347325Z] 102400,115453952,94371840,32768,0,0,7166,1949,9135,0,12288,115503104,40960,0,0,18446744073709551615,18446744073709551615,102400,115453952,94371840,32768,0,0,7166,1949,9135,0,12288,115503104,40960,0,0
[2014-12-04T21:27:38.717689919Z] 102400,115453952,94371840,32768,0,0,7166,1949,9135,0,12288,115503104,40960,0,0,18446744073709551615,18446744073709551615,102400,115453952,94371840,32768,0,0,7166,1949,9135,0,12288,115503104,40960,0,0
[2014-12-04T21:27:39.723182479Z] 102400,115453952,94371840,32768,0,0,7166,1949,9135,0,12288,115503104,40960,0,0,18446744073709551615,18446744073709551615,102400,115453952,94371840,32768,0,0,7166,1949,9135,0,12288,115503104,40960,0,0
