2014-12-04T21:22:34.628719591Z cache,rss,rss_huge,mapped_file,writeback,swap,pgpgin,pgpgout,pgfault,pgmajfault,inactive_anon,active_anon,inactive_file,active_file,unevictable,hierarchical_memory_limit,hierarchical_memsw_limit,total_cache,total_rss,total_rss_huge,total_mapped_file,total_writeback,total_swap,total_pgpgin,total_pgpgout,total_pgfault,total_pgmajfault,total_inactive_anon,total_active_anon,total_inactive_file,total_active_file,total_unevictable
2014-12-04T21:22:34.630974720Z 81920,72896512,62914560,32768,0,0,3036,549,3757,0,16384,72880128,32768,0,0,18446744073709551615,18446744073709551615,81920,72896512,62914560,32768,0,0,3036,549,3757,0,16384,72880128,32768,0,0
[2014-12-04T21:22:35.637659906Z] 86016,98816000,85983232,32768,0,0,4232,1037,5010,0,16384,98824192,32768,0,0,18446744073709551615,18446744073709551615,86016,98816000,85983232,32768,0,0,4232,1037,5010,0,16384,98824192,32768,0,0
[2014-12-04T21:22:36.644443106Z] 86016,98816000,85983232,32768,0,0,4232,1037,5011,0,16384,98824192,32768,0,0,18446744073709551615,18446744073709551615,86016,98816000,85983232,32768,0,0,4232,1037,5011,0,16384,98824192,32768,0,0
[2014-12-04T21:22:37.649016506Z] 86016,105635840,92274688,32768,0,0,4401,1074,5183,0,16384,105672704,32768,0,0,18446744073709551615,18446744073709551615,86016,105635840,92274688,32768,0,0,4401,1074,5183,0,16384,105672704,32768,0,0
[2014-12-04T21:22:38.652486912Z] 86016,110354432,96468992,32768,0,0,4567,1110,5351,0,16384,110391296,32768,0,0,18446744073709551615,18446744073709551615,86016,110354432,96468992,32768,0,0,4567,1110,5351,0,16384,110391296,32768,0,0
[2014-12-04T21:22:39.658060505Z] 86016,112394240,98566144,32768,0,0,4570,1126,5360,0,16384,112431104,32768,0,0,18446744073709551615,18446744073709551615,86016,112394240,98566144,32768,0,0,4570,1126,5360,0,16384,112431104,32768,0,0
[2014-12-04T21:22:40.660633596Z] 86016,114507776,100663296,32768,0,0,4575,1126,5371,0,16384,114544640,32768,0,0,18446744073709551615,18446744073709551615,86016,114507776,100663296,32768,0,0,4575,1126,5371,0,16384,114544640,32768,0,0
[2014-12-04T21:22:41.665569604Z] 86016,116686848,102760448,32768,0,0,4596,1126,5400,0,16384,116723712,32768,0,0,18446744073709551615,18446744073709551615,86016,116686848,102760448,32768,0,0,4596,1126,5400,0,16384,116723712,32768,0,0
[2014-12-04T21:22:42.669816995Z] 86016,118988800,104857600,32768,0,0,4647,1126,5459,0,16384,119025664,32768,0,0,18446744073709551615,18446744073709551615,86016,118988800,104857600,32768,0,0,4647,1126,5459,0,16384,119025664,32768,0,0
[2014-12-04T21:22:43.673935302Z] 86016,124006400,109051904,32768,0,0,4856,1132,5679,0,16384,124043264,32768,0,0,18446744073709551615,18446744073709551615,86016,124006400,109051904,32768,0,0,4856,1132,5679,0,16384,124043264,32768,0,0
[2014-12-04T21:22:44.677951702Z] 86016,124006400,109051904,32768,0,0,4856,1132,5679,0,16384,124043264,32768,0,0,18446744073709551615,18446744073709551615,86016,124006400,109051904,32768,0,0,4856,1132,5679,0,16384,124043264,32768,0,0
[2014-12-04T21:22:45.683173765Z] 86016,124006400,109051904,32768,0,0,4856,1132,5679,0,16384,124043264,32768,0,0,18446744073709551615,18446744073709551615,86016,124006400,109051904,32768,0,0,4856,1132,5679,0,16384,124043264,32768,0,0
[2014-12-04T21:22:46.688439964Z] 86016,124006400,109051904,32768,0,0,4856,1132,5679,0,16384,124043264,32768,0,0,18446744073709551615,18446744073709551615,86016,124006400,109051904,32768,0,0,4856,1132,5679,0,16384,124043264,32768,0,0
[2014-12-04T21:22:47.693677630Z] 86016,124006400,109051904,32768,0,0,4856,1132,5679,0,16384,124043264,32768,0,0,18446744073709551615,18446744073709551615,86016,124006400,109051904,32768,0,0,4856,1132,5679,0,16384,124043264,32768,0,0
[2014-12-04T21:22:48.699357226Z] 86016,126107648,111149056,32768,0,0,4858,1132,5687,0,16384,126144512,32768,0,0,18446744073709551615,18446744073709551615,86016,126107648,111149056,32768,0,0,4858,1132,5687,0,16384,126144512,32768,0,0
[2014-12-04T21:22:49.706769399Z] 86016,126107648,111149056,32768,0,0,4858,1132,5687,0,16384,126144512,32768,0,0,18446744073709551615,18446744073709551615,86016,126107648,111149056,32768,0,0,4858,1132,5687,0,16384,126144512,32768,0,0
[2014-12-04T21:22:50.713520753Z] 86016,126107648,111149056,32768,0,0,4858,1132,5689,0,16384,126144512,32768,0,0,18446744073709551615,18446744073709551615,86016,126107648,111149056,32768,0,0,4858,1132,5689,0,16384,126144512,32768,0,0
[2014-12-04T21:22:51.719653648Z] 86016,126107648,111149056,32768,0,0,4858,1132,5689,0,16384,126144512,32768,0,0,18446744073709551615,18446744073709551615,86016,126107648,111149056,32768,0,0,4858,1132,5689,0,16384,126144512,32768,0,0
[2014-12-04T21:22:52.725438108Z] 86016,126107648,111149056,32768,0,0,4858,1132,5689,0,16384,126144512,32768,0,0,18446744073709551615,18446744073709551615,86016,126107648,111149056,32768,0,0,4858,1132,5689,0,16384,126144512,32768,0,0
[2014-12-04T21:22:53.742160222Z] 86016,140279808,123731968,32768,0,0,5356,1236,6239,0,16384,140316672,32768,0,0,18446744073709551615,18446744073709551615,86016,140279808,123731968,32768,0,0,5356,1236,6239,0,16384,140316672,32768,0,0
[2014-12-04T21:22:54.844238702Z] 86016,140972032,123731968,32768,0,0,5609,1320,6503,0,16384,140976128,32768,0,0,18446744073709551615,18446744073709551615,86016,140972032,123731968,32768,0,0,5609,1320,6503,0,16384,140976128,32768,0,0
[2014-12-04T21:22:55.773878395Z] 86016,145272832,125829120,32768,0,0,6454,1626,7372,0,16384,145281024,32768,0,0,18446744073709551615,18446744073709551615,86016,145272832,125829120,32768,0,0,6454,1626,7372,0,16384,145281024,32768,0,0
[2014-12-04T21:22:56.783925204Z] 86016,145784832,125829120,32768,0,0,6732,1779,7668,0,16384,145821696,32768,0,0,18446744073709551615,18446744073709551615,86016,145784832,125829120,32768,0,0,6732,1779,7668,0,16384,145821696,32768,0,0
[2014-12-04T21:22:57.799948748Z] 86016,145887232,125829120,32768,0,0,6757,1779,7695,0,16384,145924096,32768,0,0,18446744073709551615,18446744073709551615,86016,145887232,125829120,32768,0,0,6757,1779,7695,0,16384,145924096,32768,0,0
[2014-12-04T21:22:58.809141144Z] 86016,146067456,125829120,32768,0,0,6801,1779,7748,0,16384,146104320,32768,0,0,18446744073709551615,18446744073709551615,86016,146067456,125829120,32768,0,0,6801,1779,7748,0,16384,146104320,32768,0,0
[2014-12-04T21:22:59.816570245Z] 86016,146157568,125829120,32768,0,0,6908,1864,7861,0,16384,146194432,32768,0,0,18446744073709551615,18446744073709551615,86016,146157568,125829120,32768,0,0,6908,1864,7861,0,16384,146194432,32768,0,0
[2014-12-04T21:23:00.833016257Z] 86016,146235392,125829120,32768,0,0,6927,1864,7886,0,16384,146268160,32768,0,0,18446744073709551615,18446744073709551615,86016,146235392,125829120,32768,0,0,6927,1864,7886,0,16384,146268160,32768,0,0
[2014-12-04T21:23:01.835803693Z] 86016,147726336,125829120,32768,0,0,8475,3048,9435,0,16384,147763200,32768,0,0,18446744073709551615,18446744073709551615,86016,147726336,125829120,32768,0,0,8475,3048,9435,0,16384,147763200,32768,0,0
[2014-12-04T21:23:02.844037814Z] 86016,147726336,125829120,32768,0,0,8475,3048,9440,0,16384,147763200,32768,0,0,18446744073709551615,18446744073709551615,86016,147726336,125829120,32768,0,0,8475,3048,9440,0,16384,147763200,32768,0,0
[2014-12-04T21:23:03.847782980Z] 86016,155086848,125829120,32768,0,0,13131,5907,14108,0,16384,155123712,32768,0,0,18446744073709551615,18446744073709551615,86016,155086848,125829120,32768,0,0,13131,5907,14108,0,16384,155123712,32768,0,0
[2014-12-04T21:23:05.099360967Z] 86016,150540288,125829120,32768,0,0,13131,7017,14113,0,16384,150577152,32768,0,0,18446744073709551615,18446744073709551615,86016,150540288,125829120,32768,0,0,13131,7017,14113,0,16384,150577152,32768,0,0
[2014-12-04T21:23:05.876373811Z] 86016,152322048,125829120,32768,0,0,14284,7735,15267,0,16384,152358912,32768,0,0,18446744073709551615,18446744073709551615,86016,152322048,125829120,32768,0,0,14284,7735,15267,0,16384,152358912,32768,0,0
[2014-12-04T21:23:06.898225883Z] 86016,152322048,125829120,32768,0,0,14284,7735,15269,0,16384,152358912,32768,0,0,18446744073709551615,18446744073709551615,86016,152322048,125829120,32768,0,0,14284,7735,15269,0,16384,152358912,32768,0,0
[2014-12-04T21:23:07.957431174Z] 86016,152453120,125829120,32768,0,0,14348,7767,15336,0,16384,152489984,32768,0,0,18446744073709551615,18446744073709551615,86016,152453120,125829120,32768,0,0,14348,7767,15336,0,16384,152489984,32768,0,0
[2014-12-04T21:23:08.914011238Z] 86016,152453120,125829120,32768,0,0,14348,7767,15338,0,16384,152489984,32768,0,0,18446744073709551615,18446744073709551615,86016,152453120,125829120,32768,0,0,14348,7767,15338,0,16384,152489984,32768,0,0
[2014-12-04T21:23:09.923615615Z] 86016,151453696,125829120,32768,0,0,14408,8071,15400,0,16384,151490560,32768,0,0,18446744073709551615,18446744073709551615,86016,151453696,125829120,32768,0,0,14408,8071,15400,0,16384,151490560,32768,0,0
[2014-12-04T21:23:10.928186329Z] 86016,151453696,125829120,32768,0,0,14408,8071,15402,0,16384,151490560,32768,0,0,18446744073709551615,18446744073709551615,86016,151453696,125829120,32768,0,0,14408,8071,15402,0,16384,151490560,32768,0,0
[2014-12-04T21:23:11.938955502Z] 86016,155611136,125829120,32768,0,0,18430,11078,19429,0,16384,155648000,32768,0,0,18446744073709551615,18446744073709551615,86016,155611136,125829120,32768,0,0,18430,11078,19429,0,16384,155648000,32768,0,0
