2014-12-04T21:22:37.688654185Z cache,rss,rss_huge,mapped_file,writeback,swap,pgpgin,pgpgout,pgfault,pgmajfault,inactive_anon,active_anon,inactive_file,active_file,unevictable,hierarchical_memory_limit,hierarchical_memsw_limit,total_cache,total_rss,total_rss_huge,total_mapped_file,total_writeback,total_swap,total_pgpgin,total_pgpgout,total_pgfault,total_pgmajfault,total_inactive_anon,total_active_anon,total_inactive_file,total_active_file,total_unevictable
2014-12-04T21:22:37.694157135Z 106496,83619840,62914560,32768,0,0,6517,1406,8478,0,16384,83664896,40960,0,0,18446744073709551615,18446744073709551615,106496,83619840,62914560,32768,0,0,6517,1406,8478,0,16384,83664896,40960,0,0
[2014-12-04T21:22:38.697811787Z] 106496,118902784,94371840,32768,0,0,7921,1861,9941,0,12288,118956032,40960,0,0,18446744073709551615,18446744073709551615,106496,118902784,94371840,32768,0,0,7921,1861,9941,0,12288,118956032,40960,0,0
[2014-12-04T21:22:39.701768099Z] 106496,118902784,94371840,32768,0,0,7921,1861,9941,0,12288,118956032,40960,0,0,18446744073709551615,18446744073709551615,106496,118902784,94371840,32768,0,0,7921,1861,9941,0,12288,118956032,40960,0,0
[2014-12-04T21:22:40.707961411Z] 106496,118902784,94371840,32768,0,0,7921,1861,9941,0,12288,118956032,40960,0,0,18446744073709551615,18446744073709551615,106496,118902784,94371840,32768,0,0,7921,1861,9941,0,12288,118956032,40960,0,0
[2014-12-04T21:22:41.709670592Z] 106496,118902784,94371840,32768,0,0,7921,1861,9941,0,12288,118956032,40960,0,0,18446744073709551615,18446744073709551615,106496,118902784,94371840,32768,0,0,7921,1861,9941,0,12288,118956032,40960,0,0
[2014-12-04T21:22:42.714323429Z] 106496,118300672,94371840,32768,0,0,7921,2008,9941,0,12288,118353920,40960,0,0,18446744073709551615,18446744073709551615,106496,118300672,94371840,32768,0,0,7921,2008,9941,0,12288,118353920,40960,0,0
[2014-12-04T21:22:43.719249181Z] 106496,129679360,104857600,32768,0,0,8144,2008,10165,0,12288,129732608,40960,0,0,18446744073709551615,18446744073709551615,106496,129679360,104857600,32768,0,0,8144,2008,10165,0,12288,129732608,40960,0,0
[2014-12-04T21:22:44.723448078Z] 106496,129679360,104857600,32768,0,0,8144,2008,10165,0,12288,129732608,40960,0,0,18446744073709551615,18446744073709551615,106496,129679360,104857600,32768,0,0,8144,2008,10165,0,12288,129732608,40960,0,0
[2014-12-04T21:22:45.728282931Z] 106496,129679360,104857600,32768,0,0,8144,2008,10165,0,12288,129732608,40960,0,0,18446744073709551615,18446744073709551615,106496,129679360,104857600,32768,0,0,8144,2008,10165,0,12288,129732608,40960,0,0
[2014-12-04T21:22:46.733741902Z] 106496,131776512,106954752,32768,0,0,8145,2008,10167,0,12288,131829760,40960,0,0,18446744073709551615,18446744073709551615,106496,131776512,106954752,32768,0,0,8145,2008,10167,0,12288,131829760,40960,0,0
[2014-12-04T21:22:47.738102350Z] 106496,131776512,106954752,32768,0,0,8145,2008,10167,0,12288,131829760,40960,0,0,18446744073709551615,18446744073709551615,106496,131776512,106954752,32768,0,0,8145,2008,10167,0,12288,131829760,40960,0,0
[2014-12-04T21:22:48.742780246Z] 106496,131776512,106954752,32768,0,0,8145,2008,10171,0,12288,131829760,40960,0,0,18446744073709551615,18446744073709551615,106496,131776512,106954752,32768,0,0,8145,2008,10171,0,12288,131829760,40960,0,0
