2014-12-04T21:22:39.288689202Z cache,rss,rss_huge,mapped_file,writeback,swap,pgpgin,pgpgout,pgfault,pgmajfault,inactive_anon,active_anon,inactive_file,active_file,unevictable,hierarchical_memory_limit,hierarchical_memsw_limit,total_cache,total_rss,total_rss_huge,total_mapped_file,total_writeback,total_swap,total_pgpgin,total_pgpgout,total_pgfault,total_pgmajfault,total_inactive_anon,total_active_anon,total_inactive_file,total_active_file,total_unevictable
2014-12-04T21:22:39.292725734Z 102400,83767296,67108864,32768,0,0,5569,1445,7494,0,20480,83804160,40960,0,0,18446744073709551615,18446744073709551615,102400,83767296,67108864,32768,0,0,5569,1445,7494,0,20480,83804160,40960,0,0
[2014-12-04T21:22:40.298776451Z] 102400,115556352,96468992,32768,0,0,6617,1886,8599,0,16384,115601408,40960,0,0,18446744073709551615,18446744073709551615,102400,115556352,96468992,32768,0,0,6617,1886,8599,0,16384,115601408,40960,0,0
[2014-12-04T21:22:41.302032990Z] 102400,115556352,96468992,32768,0,0,6617,1886,8599,0,16384,115601408,40960,0,0,18446744073709551615,18446744073709551615,102400,115556352,96468992,32768,0,0,6617,1886,8599,0,16384,115601408,40960,0,0
[2014-12-04T21:22:42.305752955Z] 102400,115556352,96468992,32768,0,0,6617,1886,8599,0,16384,115601408,40960,0,0,18446744073709551615,18446744073709551615,102400,115556352,96468992,32768,0,0,6617,1886,8599,0,16384,115601408,40960,0,0
[2014-12-04T21:22:43.309965895Z] 102400,115556352,96468992,32768,0,0,6617,1886,8599,0,16384,115601408,40960,0,0,18446744073709551615,18446744073709551615,102400,115556352,96468992,32768,0,0,6617,1886,8599,0,16384,115601408,40960,0,0
[2014-12-04T21:22:44.316780244Z] 102400,115204096,96468992,32768,0,0,6617,1972,8599,0,16384,115249152,40960,0,0,18446744073709551615,18446744073709551615,102400,115204096,96468992,32768,0,0,6617,1972,8599,0,16384,115249152,40960,0,0
[2014-12-04T21:22:45.322932466Z] 102400,115204096,96468992,32768,0,0,6617,1972,8599,0,16384,115249152,40960,0,0,18446744073709551615,18446744073709551615,102400,115204096,96468992,32768,0,0,6617,1972,8599,0,16384,115249152,40960,0,0
[2014-12-04T21:22:46.327651774Z] 102400,115204096,96468992,32768,0,0,6617,1972,8599,0,16384,115249152,40960,0,0,18446744073709551615,18446744073709551615,102400,115204096,96468992,32768,0,0,6617,1972,8599,0,16384,115249152,40960,0,0
[2014-12-04T21:22:47.333132501Z] 102400,115204096,96468992,32768,0,0,6617,1972,8599,0,16384,115249152,40960,0,0,18446744073709551615,18446744073709551615,102400,115204096,96468992,32768,0,0,6617,1972,8599,0,16384,115249152,40960,0,0
[2014-12-04T21:22:48.337302060Z] 102400,115204096,96468992,32768,0,0,6617,1972,8599,0,16384,115249152,40960,0,0,18446744073709551615,18446744073709551615,102400,115204096,96468992,32768,0,0,6617,1972,8599,0,16384,115249152,40960,0,0
[2014-12-04T21:22:49.341863385Z] 102400,115204096,96468992,32768,0,0,6617,1972,8599,0,16384,115249152,40960,0,0,18446744073709551615,18446744073709551615,102400,115204096,96468992,32768,0,0,6617,1972,8599,0,16384,115249152,40960,0,0
[2014-12-04T21:22:50.348730701Z] 102400,115204096,96468992,32768,0,0,6617,1972,8599,0,16384,115249152,40960,0,0,18446744073709551615,18446744073709551615,102400,115204096,96468992,32768,0,0,6617,1972,8599,0,16384,115249152,40960,0,0
[2014-12-04T21:22:51.353506386Z] 102400,115204096,96468992,32768,0,0,6617,1972,8601,0,16384,115249152,40960,0,0,18446744073709551615,18446744073709551615,102400,115204096,96468992,32768,0,0,6617,1972,8601,0,16384,115249152,40960,0,0
[2014-12-04T21:22:52.357577293Z] 102400,115204096,96468992,32768,0,0,6617,1972,8601,0,16384,115249152,40960,0,0,18446744073709551615,18446744073709551615,102400,115204096,96468992,32768,0,0,6617,1972,8601,0,16384,115249152,40960,0,0
[2014-12-04T21:22:53.373697579Z] 102400,115204096,96468992,32768,0,0,6617,1972,8601,0,16384,115249152,40960,0,0,18446744073709551615,18446744073709551615,102400,115204096,96468992,32768,0,0,6617,1972,8601,0,16384,115249152,40960,0,0
[2014-12-04T21:22:54.527693485Z] 102400,115204096,96468992,32768,0,0,6617,1972,8601,0,16384,115249152,40960,0,0,18446744073709551615,18446744073709551615,102400,115204096,96468992,32768,0,0,6617,1972,8601,0,16384,115249152,40960,0,0
[2014-12-04T21:22:55.533435296Z] 102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0,18446744073709551615,18446744073709551615,102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0
[2014-12-04T21:22:56.412822804Z] 102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0,18446744073709551615,18446744073709551615,102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0
[2014-12-04T21:22:57.428049301Z] 102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0,18446744073709551615,18446744073709551615,102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0
[2014-12-04T21:22:58.436807429Z] 102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0,18446744073709551615,18446744073709551615,102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0
[2014-12-04T21:22:59.783641102Z] 102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0,18446744073709551615,18446744073709551615,102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0
[2014-12-04T21:23:00.656548086Z] 102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0,18446744073709551615,18446744073709551615,102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0
[2014-12-04T21:23:01.588452001Z] 102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0,18446744073709551615,18446744073709551615,102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0
[2014-12-04T21:23:02.466544101Z] 102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0,18446744073709551615,18446744073709551615,102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0
[2014-12-04T21:23:03.735734284Z] 102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0,18446744073709551615,18446744073709551615,102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0
[2014-12-04T21:23:05.099270178Z] 102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0,18446744073709551615,18446744073709551615,102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0
[2014-12-04T21:23:05.582554454Z] 102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0,18446744073709551615,18446744073709551615,102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0
[2014-12-04T21:23:06.497187322Z] 102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0,18446744073709551615,18446744073709551615,102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0
[2014-12-04T21:23:07.946913460Z] 102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0,18446744073709551615,18446744073709551615,102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0
[2014-12-04T21:23:08.526784617Z] 102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0,18446744073709551615,18446744073709551615,102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0
[2014-12-04T21:23:09.710086435Z] 102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0,18446744073709551615,18446744073709551615,102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0
[2014-12-04T21:23:10.555256427Z] 102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0,18446744073709551615,18446744073709551615,102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0
[2014-12-04T21:23:11.786824636Z] 102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0,18446744073709551615,18446744073709551615,102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0
[2014-12-04T21:23:12.558768324Z] 102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0,18446744073709551615,18446744073709551615,102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0
[2014-12-04T21:23:13.668549766Z] 102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0,18446744073709551615,18446744073709551615,102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0
[2014-12-04T21:23:14.566144208Z] 102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0,18446744073709551615,18446744073709551615,102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0
[2014-12-04T21:23:15.573641152Z] 102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0,18446744073709551615,18446744073709551615,102400,115204096,96468992,32768,0,0,6617,1972,8602,0,16384,115249152,40960,0,0
