2014-12-04T22:01:47.210400074Z cache,rss,rss_huge,mapped_file,writeback,swap,pgpgin,pgpgout,pgfault,pgmajfault,inactive_anon,active_anon,inactive_file,active_file,unevictable,hierarchical_memory_limit,hierarchical_memsw_limit,total_cache,total_rss,total_rss_huge,total_mapped_file,total_writeback,total_swap,total_pgpgin,total_pgpgout,total_pgfault,total_pgmajfault,total_inactive_anon,total_active_anon,total_inactive_file,total_active_file,total_unevictable
2014-12-04T22:01:47.213401438Z 114688,90558464,71303168,32768,0,0,6211,1448,8198,0,20480,90583040,40960,0,0,18446744073709551615,18446744073709551615,114688,90558464,71303168,32768,0,0,6211,1448,8198,0,20480,90583040,40960,0,0
[2014-12-04T22:01:48.217278427Z] 114688,118198272,96468992,32768,0,0,7258,1879,9300,0,16384,118255616,40960,0,0,18446744073709551615,18446744073709551615,114688,118198272,96468992,32768,0,0,7258,1879,9300,0,16384,118255616,40960,0,0
[2014-12-04T22:01:49.221176410Z] 114688,118198272,96468992,32768,0,0,7258,1879,9300,0,16384,118255616,40960,0,0,18446744073709551615,18446744073709551615,114688,118198272,96468992,32768,0,0,7258,1879,9300,0,16384,118255616,40960,0,0
[2014-12-04T22:01:50.227701129Z] 114688,118198272,96468992,32768,0,0,7258,1879,9300,0,16384,118255616,40960,0,0,18446744073709551615,18446744073709551615,114688,118198272,96468992,32768,0,0,7258,1879,9300,0,16384,118255616,40960,0,0
[2014-12-04T22:01:51.233999078Z] 114688,118198272,96468992,32768,0,0,7258,1879,9300,0,16384,118255616,40960,0,0,18446744073709551615,18446744073709551615,114688,118198272,96468992,32768,0,0,7258,1879,9300,0,16384,118255616,40960,0,0
[2014-12-04T22:01:52.237696279Z] 114688,118132736,96468992,32768,0,0,7258,1895,9300,0,16384,118190080,40960,0,0,18446744073709551615,18446744073709551615,114688,118132736,96468992,32768,0,0,7258,1895,9300,0,16384,118190080,40960,0,0
[2014-12-04T22:01:53.244502341Z] 114688,129495040,106954752,32768,0,0,7477,1895,9521,0,16384,129552384,40960,0,0,18446744073709551615,18446744073709551615,114688,129495040,106954752,32768,0,0,7477,1895,9521,0,16384,129552384,40960,0,0
[2014-12-04T22:01:54.248503071Z] 114688,129507328,106954752,32768,0,0,7480,1895,9526,0,16384,129564672,40960,0,0,18446744073709551615,18446744073709551615,114688,129507328,106954752,32768,0,0,7480,1895,9526,0,16384,129564672,40960,0,0
[2014-12-04T22:01:55.251747054Z] 114688,129507328,106954752,32768,0,0,7480,1895,9526,0,16384,129564672,40960,0,0,18446744073709551615,18446744073709551615,114688,129507328,106954752,32768,0,0,7480,1895,9526,0,16384,129564672,40960,0,0
[2014-12-04T22:01:56.257662316Z] 114688,131604480,109051904,32768,0,0,7481,1895,9527,0,16384,131661824,40960,0,0,18446744073709551615,18446744073709551615,114688,131604480,109051904,32768,0,0,7481,1895,9527,0,16384,131661824,40960,0,0
[2014-12-04T22:01:57.264949642Z] 114688,131604480,109051904,32768,0,0,7481,1895,9527,0,16384,131661824,40960,0,0,18446744073709551615,18446744073709551615,114688,131604480,109051904,32768,0,0,7481,1895,9527,0,16384,131661824,40960,0,0
[2014-12-04T22:01:58.270081819Z] 114688,131604480,109051904,32768,0,0,7481,1895,9530,0,16384,131661824,40960,0,0,18446744073709551615,18446744073709551615,114688,131604480,109051904,32768,0,0,7481,1895,9530,0,16384,131661824,40960,0,0
[2014-12-04T22:01:59.275110536Z] 114688,131604480,109051904,32768,0,0,7481,1895,9530,0,16384,131661824,40960,0,0,18446744073709551615,18446744073709551615,114688,131604480,109051904,32768,0,0,7481,1895,9530,0,16384,131661824,40960,0,0
[2014-12-04T22:02:00.281563199Z] 114688,131604480,109051904,32768,0,0,7481,1895,9530,0,16384,131661824,40960,0,0,18446744073709551615,18446744073709551615,114688,131604480,109051904,32768,0,0,7481,1895,9530,0,16384,131661824,40960,0,0
[2014-12-04T22:02:01.285570455Z] 114688,131604480,109051904,32768,0,0,7481,1895,9530,0,16384,131661824,40960,0,0,18446744073709551615,18446744073709551615,114688,131604480,109051904,32768,0,0,7481,1895,9530,0,16384,131661824,40960,0,0
[2014-12-04T22:02:02.296400979Z] 114688,131604480,109051904,32768,0,0,7481,1895,9530,0,16384,131661824,40960,0,0,18446744073709551615,18446744073709551615,114688,131604480,109051904,32768,0,0,7481,1895,9530,0,16384,131661824,40960,0,0
[2014-12-04T22:02:03.309677327Z] 4071424,134701056,111149056,32768,0,0,8740,1943,9830,0,24576,134705152,1101824,2875392,0,18446744073709551615,18446744073709551615,4071424,134701056,111149056,32768,0,0,8740,1943,9830,0,24576,134705152,1101824,2875392,0
[2014-12-04T22:02:04.550338679Z] 17207296,197595136,142606336,327680,4096,0,26160,8977,24568,0,69632,197713920,14254080,2764800,0,18446744073709551615,18446744073709551615,17207296,197595136,142606336,327680,4096,0,26160,8977,24568,0,69632,197713920,14254080,2764800,0
[2014-12-04T22:02:05.331934262Z] 17559552,197574656,140509184,331776,0,0,38976,22734,42079,0,69632,197685248,14266368,3104768,0,18446744073709551615,18446744073709551615,17559552,197574656,140509184,331776,0,0,38976,22734,42079,0,69632,197685248,14266368,3104768,0
[2014-12-04T22:02:06.340695941Z] 18345984,244387840,142606336,364544,0,0,50514,23162,54161,0,69632,244506624,12267520,5890048,0,18446744073709551615,18446744073709551615,18345984,244387840,142606336,364544,0,0,50514,23162,54161,0,69632,244506624,12267520,5890048,0
[2014-12-04T22:02:07.345518142Z] 18628608,279371776,148897792,397312,0,0,57817,23388,61951,0,73728,279453696,11714560,6721536,0,18446744073709551615,18446744073709551615,18628608,279371776,148897792,397312,0,0,57817,23388,61951,0,73728,279453696,11714560,6721536,0
[2014-12-04T22:02:08.350198188Z] 19300352,333402112,176160768,397312,0,0,68914,27773,72954,0,73728,333467648,12222464,6885376,0,18446744073709551615,18446744073709551615,19300352,333402112,176160768,397312,0,0,68914,27773,72954,0,73728,333467648,12222464,6885376,0
[2014-12-04T22:02:09.364129864Z] 19988480,345358336,174063616,397312,0,0,93775,50058,97782,0,73728,345481216,12808192,6983680,0,18446744073709551615,18446744073709551615,19988480,345358336,174063616,397312,0,0,93775,50058,97782,0,73728,345481216,12808192,6983680,0
[2014-12-04T22:02:10.372676922Z] 20254720,346701824,174063616,397312,0,0,114945,70835,118887,0,73728,346824704,13074432,6983680,0,18446744073709551615,18446744073709551615,20254720,346701824,174063616,397312,0,0,114945,70835,118887,0,73728,346824704,13074432,6983680,0
[2014-12-04T22:02:11.378887216Z] 12988416,162488320,136314880,32768,0,0,131534,124974,134777,0,8192,162611200,8851456,3993600,0,18446744073709551615,18446744073709551615,12988416,162488320,136314880,32768,0,0,131534,124974,134777,0,8192,162611200,8851456,3993600,0
[2014-12-04T22:02:12.385926281Z] 18128896,211369984,142606336,331776,0,0,159634,143973,167546,0,73728,211406848,13656064,4276224,0,18446744073709551615,18446744073709551615,18128896,211369984,142606336,331776,0,0,159634,143973,167546,0,73728,211406848,13656064,4276224,0
[2014-12-04T22:02:13.394852650Z] 19042304,266661888,146800640,397312,0,0,172669,144308,181855,0,73728,266776576,11911168,6934528,0,18446744073709551615,18446744073709551615,19042304,266661888,146800640,397312,0,0,172669,144308,181855,0,73728,266776576,11911168,6934528,0
[2014-12-04T22:02:14.398917541Z] 19537920,295354368,146800640,397312,0,0,180035,144548,189174,0,73728,295428096,11952128,7389184,0,18446744073709551615,18446744073709551615,19537920,295354368,146800640,397312,0,0,180035,144548,189174,0,73728,295428096,11952128,7389184,0
[2014-12-04T22:02:15.404151158Z] 20709376,344035328,167772160,397312,0,0,192376,150339,201248,0,73728,344158208,13012992,7499776,0,18446744073709551615,18446744073709551615,20709376,344035328,167772160,397312,0,0,192376,150339,201248,0,73728,344158208,13012992,7499776,0
[2014-12-04T22:02:16.408699258Z] 17534976,198299648,138412032,299008,0,0,219205,208413,231802,0,73728,198373376,14311424,3026944,0,18446744073709551615,18446744073709551615,17534976,198303744,138412032,299008,0,0,219206,208413,231803,0,73728,198373376,14311424,3026944,0
[2014-12-04T22:02:17.415538159Z] 18829312,271187968,146800640,397312,0,0,235348,209000,249471,0,73728,271310848,11726848,6905856,0,18446744073709551615,18446744073709551615,18829312,271187968,146800640,397312,4096,0,235349,209000,249472,0,73728,271310848,11726848,6905856,0
[2014-12-04T22:02:18.419616018Z] 19156992,291160064,150994944,397312,0,0,239338,209056,255311,0,73728,291282944,11763712,7196672,0,18446744073709551615,18446744073709551615,19156992,291160064,150994944,397312,0,0,239338,209056,255311,0,73728,291282944,11763712,7196672,0
[2014-12-04T22:02:19.426041620Z] 20537344,352493568,184549376,397312,0,0,248758,211341,265016,0,73728,352616448,12820480,7520256,0,18446744073709551615,18446744073709551615,20537344,352493568,184549376,397312,0,0,248758,211341,265016,0,73728,352616448,12820480,7520256,0
[2014-12-04T22:02:20.945870718Z] 15974400,193961984,138412032,294912,0,0,267637,259307,283256,0,73728,194007040,13099008,2678784,0,18446744073709551615,18446744073709551615,15974400,193961984,138412032,294912,0,0,267637,259307,283256,0,73728,194007040,13099008,2678784,0
[2014-12-04T22:02:21.756624888Z] 18706432,233078784,146800640,364544,0,0,288809,275372,309456,0,73728,233197568,14155776,4354048,0,18446744073709551615,18446744073709551615,18706432,233078784,146800640,364544,0,0,288809,275372,309456,0,73728,233197568,14155776,4354048,0
[2014-12-04T22:02:22.441575651Z] 19046400,272687104,146800640,397312,0,0,298618,275428,320459,0,73728,272773120,11743232,7106560,0,18446744073709551615,18446744073709551615,19046400,272687104,146800640,397312,0,0,298618,275428,320459,0,73728,272773120,11743232,7106560,0
