2014-12-04T22:01:48.699771891Z cache,rss,rss_huge,mapped_file,writeback,swap,pgpgin,pgpgout,pgfault,pgmajfault,inactive_anon,active_anon,inactive_file,active_file,unevictable,hierarchical_memory_limit,hierarchical_memsw_limit,total_cache,total_rss,total_rss_huge,total_mapped_file,total_writeback,total_swap,total_pgpgin,total_pgpgout,total_pgfault,total_pgmajfault,total_inactive_anon,total_active_anon,total_inactive_file,total_active_file,total_unevictable
2014-12-04T22:01:48.701824570Z 114688,90529792,73400320,32768,0,0,5657,1412,7614,0,20480,88481792,40960,0,0,18446744073709551615,18446744073709551615,114688,90529792,73400320,32768,0,0,5657,1412,7614,0,20480,88481792,40960,0,0
[2014-12-04T22:01:49.714856028Z] 114688,115675136,96468992,32768,0,0,6760,1997,8772,0,16384,115732480,40960,0,0,18446744073709551615,18446744073709551615,114688,115675136,96468992,32768,0,0,6760,1997,8772,0,16384,115732480,40960,0,0
[2014-12-04T22:01:50.719494812Z] 114688,115675136,96468992,32768,0,0,6760,1997,8772,0,16384,115732480,40960,0,0,18446744073709551615,18446744073709551615,114688,115675136,96468992,32768,0,0,6760,1997,8772,0,16384,115732480,40960,0,0
[2014-12-04T22:01:51.724307650Z] 114688,115675136,96468992,32768,0,0,6760,1997,8772,0,16384,115732480,40960,0,0,18446744073709551615,18446744073709551615,114688,115675136,96468992,32768,0,0,6760,1997,8772,0,16384,115732480,40960,0,0
[2014-12-04T22:01:52.727850842Z] 114688,115675136,96468992,32768,0,0,6760,1997,8772,0,16384,115732480,40960,0,0,18446744073709551615,18446744073709551615,114688,115675136,96468992,32768,0,0,6760,1997,8772,0,16384,115732480,40960,0,0
[2014-12-04T22:01:53.731154133Z] 114688,115363840,96468992,32768,0,0,6760,2073,8772,0,16384,115421184,40960,0,0,18446744073709551615,18446744073709551615,114688,115363840,96468992,32768,0,0,6760,2073,8772,0,16384,115421184,40960,0,0
[2014-12-04T22:01:54.737034362Z] 114688,115363840,96468992,32768,0,0,6760,2073,8772,0,16384,115421184,40960,0,0,18446744073709551615,18446744073709551615,114688,115363840,96468992,32768,0,0,6760,2073,8772,0,16384,115421184,40960,0,0
[2014-12-04T22:01:55.740483106Z] 114688,115363840,96468992,32768,0,0,6760,2073,8772,0,16384,115421184,40960,0,0,18446744073709551615,18446744073709551615,114688,115363840,96468992,32768,0,0,6760,2073,8772,0,16384,115421184,40960,0,0
[2014-12-04T22:01:56.744731111Z] 114688,115363840,96468992,32768,0,0,6760,2073,8772,0,16384,115421184,40960,0,0,18446744073709551615,18446744073709551615,114688,115363840,96468992,32768,0,0,6760,2073,8772,0,16384,115421184,40960,0,0
[2014-12-04T22:01:57.748496673Z] 114688,115363840,96468992,32768,0,0,6760,2073,8772,0,16384,115421184,40960,0,0,18446744073709551615,18446744073709551615,114688,115363840,96468992,32768,0,0,6760,2073,8772,0,16384,115421184,40960,0,0
