2014-12-04T21:46:51.480622573Z cache,rss,rss_huge,mapped_file,writeback,swap,pgpgin,pgpgout,pgfault,pgmajfault,inactive_anon,active_anon,inactive_file,active_file,unevictable,hierarchical_memory_limit,hierarchical_memsw_limit,total_cache,total_rss,total_rss_huge,total_mapped_file,total_writeback,total_swap,total_pgpgin,total_pgpgout,total_pgfault,total_pgmajfault,total_inactive_anon,total_active_anon,total_inactive_file,total_active_file,total_unevictable
2014-12-04T21:46:51.483977578Z 77824,76726272,67108864,32768,0,0,3048,649,3805,0,12288,76730368,32768,0,0,18446744073709551615,18446744073709551615,77824,76726272,67108864,32768,0,0,3048,649,3805,0,12288,76730368,32768,0,0
[2014-12-04T21:46:52.492610945Z] 81920,102842368,90177536,32768,0,0,4183,1028,4996,0,16384,102858752,32768,0,0,18446744073709551615,18446744073709551615,81920,102842368,90177536,32768,0,0,4183,1028,4996,0,16384,102858752,32768,0,0
[2014-12-04T21:46:53.497838324Z] 81920,102842368,90177536,32768,0,0,4183,1028,4996,0,16384,102858752,32768,0,0,18446744073709551615,18446744073709551615,81920,102842368,90177536,32768,0,0,4183,1028,4996,0,16384,102858752,32768,0,0
[2014-12-04T21:46:54.502942664Z] 81920,109633536,96468992,32768,0,0,4332,1052,5146,0,16384,109666304,32768,0,0,18446744073709551615,18446744073709551615,81920,109633536,96468992,32768,0,0,4332,1052,5146,0,16384,109666304,32768,0,0
[2014-12-04T21:46:55.507158139Z] 81920,114315264,100663296,32768,0,0,4489,1088,5305,0,16384,114348032,32768,0,0,18446744073709551615,18446744073709551615,81920,114315264,100663296,32768,0,0,4489,1088,5305,0,16384,114348032,32768,0,0
[2014-12-04T21:46:56.510690931Z] 81920,115793920,102760448,32768,0,0,4494,1243,5318,0,16384,115826688,32768,0,0,18446744073709551615,18446744073709551615,81920,115793920,102760448,32768,0,0,4494,1243,5318,0,16384,115826688,32768,0,0
[2014-12-04T21:46:57.515947526Z] 81920,115793920,102760448,32768,0,0,4494,1243,5318,0,16384,115826688,32768,0,0,18446744073709551615,18446744073709551615,81920,115793920,102760448,32768,0,0,4494,1243,5318,0,16384,115826688,32768,0,0
[2014-12-04T21:46:58.520353154Z] 81920,115793920,102760448,32768,0,0,4494,1243,5318,0,16384,115826688,32768,0,0,18446744073709551615,18446744073709551615,81920,115793920,102760448,32768,0,0,4494,1243,5318,0,16384,115826688,32768,0,0
[2014-12-04T21:46:59.526048325Z] 81920,115793920,102760448,32768,0,0,4494,1243,5318,0,16384,115826688,32768,0,0,18446744073709551615,18446744073709551615,81920,115793920,102760448,32768,0,0,4494,1243,5318,0,16384,115826688,32768,0,0
[2014-12-04T21:47:00.530610042Z] 81920,122482688,109051904,32768,0,0,4600,1249,5437,0,16384,122515456,32768,0,0,18446744073709551615,18446744073709551615,81920,122482688,109051904,32768,0,0,4600,1249,5437,0,16384,122515456,32768,0,0
[2014-12-04T21:47:01.535770127Z] 81920,122482688,109051904,32768,0,0,4600,1249,5437,0,16384,122515456,32768,0,0,18446744073709551615,18446744073709551615,81920,122482688,109051904,32768,0,0,4600,1249,5437,0,16384,122515456,32768,0,0
