2014-12-04T21:46:54.481098568Z cache,rss,rss_huge,mapped_file,writeback,swap,pgpgin,pgpgout,pgfault,pgmajfault,inactive_anon,active_anon,inactive_file,active_file,unevictable,hierarchical_memory_limit,hierarchical_memsw_limit,total_cache,total_rss,total_rss_huge,total_mapped_file,total_writeback,total_swap,total_pgpgin,total_pgpgout,total_pgfault,total_pgmajfault,total_inactive_anon,total_active_anon,total_inactive_file,total_active_file,total_unevictable
2014-12-04T21:46:54.483371400Z 110592,85827584,67108864,32768,0,0,6111,1482,8070,0,20480,85876736,40960,0,0,18446744073709551615,18446744073709551615,110592,85827584,67108864,32768,0,0,6111,1482,8070,0,20480,85876736,40960,0,0
[2014-12-04T21:46:55.487105688Z] 110592,118222848,96468992,32768,0,0,7254,1870,9267,0,16384,118276096,40960,0,0,18446744073709551615,18446744073709551615,110592,118222848,96468992,32768,0,0,7254,1870,9267,0,16384,118276096,40960,0,0
[2014-12-04T21:46:56.490881535Z] 110592,118222848,96468992,32768,0,0,7254,1870,9267,0,16384,118276096,40960,0,0,18446744073709551615,18446744073709551615,110592,118222848,96468992,32768,0,0,7254,1870,9267,0,16384,118276096,40960,0,0
[2014-12-04T21:46:57.495981029Z] 110592,118222848,96468992,32768,0,0,7254,1870,9267,0,16384,118276096,40960,0,0,18446744073709551615,18446744073709551615,110592,118222848,96468992,32768,0,0,7254,1870,9267,0,16384,118276096,40960,0,0
[2014-12-04T21:46:58.501518299Z] 110592,118222848,96468992,32768,0,0,7254,1870,9267,0,16384,118276096,40960,0,0,18446744073709551615,18446744073709551615,110592,118222848,96468992,32768,0,0,7254,1870,9267,0,16384,118276096,40960,0,0
[2014-12-04T21:46:59.506141035Z] 110592,118042624,96468992,32768,0,0,7254,1914,9267,0,16384,118095872,40960,0,0,18446744073709551615,18446744073709551615,110592,118042624,96468992,32768,0,0,7254,1914,9267,0,16384,118095872,40960,0,0
[2014-12-04T21:47:00.511344315Z] 110592,129343488,106954752,32768,0,0,7458,1914,9472,0,16384,129339392,40960,0,0,18446744073709551615,18446744073709551615,110592,129343488,106954752,32768,0,0,7458,1914,9472,0,16384,129339392,40960,0,0
[2014-12-04T21:47:01.519384014Z] 110592,129343488,106954752,32768,0,0,7458,1914,9472,0,16384,129396736,40960,0,0,18446744073709551615,18446744073709551615,110592,129343488,106954752,32768,0,0,7458,1914,9472,0,16384,129396736,40960,0,0
[2014-12-04T21:47:02.524789098Z] 110592,129343488,106954752,32768,0,0,7458,1914,9472,0,16384,129396736,40960,0,0,18446744073709551615,18446744073709551615,110592,129343488,106954752,32768,0,0,7458,1914,9472,0,16384,129396736,40960,0,0
[2014-12-04T21:47:03.527651681Z] 110592,131440640,109051904,32768,0,0,7459,1914,9474,0,16384,129396736,40960,0,0,18446744073709551615,18446744073709551615,110592,131440640,109051904,32768,0,0,7459,1914,9474,0,16384,129396736,40960,0,0
