2014-12-04T21:17:06.641016711Z cache,rss,rss_huge,mapped_file,writeback,swap,pgpgin,pgpgout,pgfault,pgmajfault,inactive_anon,active_anon,inactive_file,active_file,unevictable,hierarchical_memory_limit,hierarchical_memsw_limit,total_cache,total_rss,total_rss_huge,total_mapped_file,total_writeback,total_swap,total_pgpgin,total_pgpgout,total_pgfault,total_pgmajfault,total_inactive_anon,total_active_anon,total_inactive_file,total_active_file,total_unevictable
2014-12-04T21:17:06.644326315Z 20709376,13627392,8388608,15015936,0,0,6773,434,2576,97,16384,13651968,17502208,3133440,0,18446744073709551615,18446744073709551615,20709376,13627392,8388608,15011840,0,0,6773,434,2576,97,16384,13651968,17502208,3133440,0
[2014-12-04T21:17:07.648369683Z] 34467840,97681408,85983232,20021248,0,0,12161,849,4876,153,16384,97697792,28008448,6332416,0,18446744073709551615,18446744073709551615,34467840,97681408,85983232,20021248,0,0,12161,849,4876,153,16384,97697792,28008448,6332416,0
[2014-12-04T21:17:08.653223773Z] 34840576,102858752,90177536,20033536,0,0,12504,859,5128,153,16384,102866944,28004352,6787072,0,18446744073709551615,18446744073709551615,34840576,102858752,90177536,20033536,0,0,12504,859,5128,153,16384,102866944,28004352,6787072,0
[2014-12-04T21:17:09.662547746Z] 34840576,102858752,90177536,21078016,0,0,12504,859,5128,153,16384,102891520,24735744,10055680,0,18446744073709551615,18446744073709551615,34840576,102858752,90177536,21078016,0,0,12504,859,5128,153,16384,102891520,24735744,10055680,0
[2014-12-04T21:17:10.667979619Z] 35299328,109662208,96468992,21196800,0,0,12768,883,5281,153,16384,109694976,24530944,10719232,0,18446744073709551615,18446744073709551615,35299328,109662208,96468992,21196800,0,0,12768,883,5281,153,16384,109694976,24530944,10719232,0
[2014-12-04T21:17:11.673242922Z] 35299328,111644672,98566144,21241856,0,0,12773,915,5292,153,16384,111677440,24530944,10719232,0,18446744073709551615,18446744073709551615,35299328,111644672,98566144,21241856,0,0,12773,915,5292,153,16384,111677440,24530944,10719232,0
[2014-12-04T21:17:12.678393488Z] 35299328,113770496,100663296,21270528,0,0,12781,915,5308,153,16384,113803264,24522752,10727424,0,18446744073709551615,18446744073709551615,35299328,113770496,100663296,21270528,0,0,12781,915,5308,153,16384,113803264,24522752,10727424,0
[2014-12-04T21:17:13.683294088Z] 35299328,115978240,102760448,21270528,0,0,12809,915,5344,153,16384,116011008,24518656,10731520,0,18446744073709551615,18446744073709551615,35299328,115978240,102760448,21270528,0,0,12809,915,5344,153,16384,116011008,24518656,10731520,0
[2014-12-04T21:17:14.686668539Z] 35299328,118280192,104857600,21307392,0,0,12860,915,5403,153,16384,118304768,24518656,10731520,0,18446744073709551615,18446744073709551615,35299328,118280192,104857600,21307392,0,0,12860,915,5403,153,16384,118304768,24518656,10731520,0
[2014-12-04T21:17:15.690694343Z] 35299328,118280192,104857600,21307392,0,0,12860,915,5403,153,16384,118312960,24514560,10735616,0,18446744073709551615,18446744073709551615,35299328,118280192,104857600,21307392,0,0,12860,915,5403,153,16384,118312960,24514560,10735616,0
[2014-12-04T21:17:16.697475336Z] 35299328,118280192,104857600,21307392,0,0,12860,915,5403,153,16384,118312960,24514560,10735616,0,18446744073709551615,18446744073709551615,35299328,118280192,104857600,21307392,0,0,12860,915,5403,153,16384,118312960,24514560,10735616,0
[2014-12-04T21:17:17.705407903Z] 35299328,118280192,104857600,21311488,0,0,12860,915,5403,153,16384,118312960,24514560,10735616,0,18446744073709551615,18446744073709551615,35299328,118280192,104857600,21311488,0,0,12860,915,5403,153,16384,118312960,24514560,10735616,0
[2014-12-04T21:17:18.716384883Z] 35299328,118280192,104857600,21307392,0,0,12860,915,5403,153,16384,118312960,24514560,10735616,0,18446744073709551615,18446744073709551615,35299328,118280192,104857600,21307392,0,0,12860,915,5403,153,16384,118312960,24514560,10735616,0
[2014-12-04T21:17:19.720932822Z] 35299328,118280192,104857600,21307392,0,0,12860,915,5403,153,16384,118312960,24514560,10735616,0,18446744073709551615,18446744073709551615,35299328,118280192,104857600,21307392,0,0,12860,915,5403,153,16384,118312960,24514560,10735616,0
[2014-12-04T21:17:20.727816718Z] 35299328,118280192,104857600,21307392,0,0,12860,915,5403,153,16384,118312960,24514560,10735616,0,18446744073709551615,18446744073709551615,35299328,118280192,104857600,21307392,0,0,12860,915,5403,153,16384,118312960,24514560,10735616,0
[2014-12-04T21:17:21.732452967Z] 35299328,118280192,104857600,21307392,0,0,12860,915,5403,153,16384,118312960,24514560,10735616,0,18446744073709551615,18446744073709551615,35299328,118280192,104857600,21307392,0,0,12860,915,5403,153,16384,118312960,24514560,10735616,0
[2014-12-04T21:17:22.737710280Z] 35299328,118280192,104857600,21307392,0,0,12860,915,5403,153,16384,118312960,24514560,10735616,0,18446744073709551615,18446744073709551615,35299328,118280192,104857600,21307392,0,0,12860,915,5403,153,16384,118312960,24514560,10735616,0
[2014-12-04T21:17:23.750142438Z] 35299328,118280192,104857600,21307392,0,0,12860,915,5403,153,16384,118312960,24514560,10735616,0,18446744073709551615,18446744073709551615,35299328,118280192,104857600,21307392,0,0,12860,915,5403,153,16384,118312960,24514560,10735616,0
[2014-12-04T21:17:24.753477337Z] 35299328,118280192,104857600,21311488,0,0,12860,915,5403,153,16384,118312960,24514560,10735616,0,18446744073709551615,18446744073709551615,35299328,118280192,104857600,21311488,0,0,12860,915,5403,153,16384,118312960,24514560,10735616,0
[2014-12-04T21:17:25.956548579Z] 35299328,118280192,104857600,21311488,0,0,12860,915,5403,153,16384,118312960,24514560,10735616,0,18446744073709551615,18446744073709551615,35299328,118280192,104857600,21311488,0,0,12860,915,5403,153,16384,118312960,24514560,10735616,0
[2014-12-04T21:17:27.139799814Z] 35356672,129400832,113246208,21307392,0,0,13793,1163,6372,153,16384,129433600,24518656,10788864,0,18446744073709551615,18446744073709551615,35356672,129400832,113246208,21307392,0,0,13793,1163,6372,153,16384,129433600,24518656,10788864,0
[2014-12-04T21:17:28.909407603Z] 35356672,128135168,113246208,21307392,0,0,13794,1473,6403,153,16384,128167936,24518656,10788864,0,18446744073709551615,18446744073709551615,35356672,128135168,113246208,21307392,0,0,13794,1473,6403,153,16384,128167936,24518656,10788864,0
[2014-12-04T21:17:28.909407603Z] 35356672,128135168,113246208,21307392,0,0,13794,1473,6403,153,16384,128167936,24518656,10788864,0,18446744073709551615,18446744073709551615,35356672,128135168,113246208,21307392,0,0,13794,1473,6403,153,16384,128167936,24518656,10788864,0
[2014-12-04T21:17:30.191431269Z] 35356672,128139264,113246208,21307392,0,0,13795,1473,6413,153,16384,128172032,24518656,10788864,0,18446744073709551615,18446744073709551615,35356672,128139264,113246208,21307392,0,0,13795,1473,6413,153,16384,128172032,24518656,10788864,0
[2014-12-04T21:17:30.858662694Z] 35356672,130957312,113246208,21307392,0,0,15515,2505,8147,153,16384,130990080,24518656,10788864,0,18446744073709551615,18446744073709551615,35356672,130957312,113246208,21307392,0,0,15515,2505,8147,153,16384,130990080,24518656,10788864,0
[2014-12-04T21:17:31.792946119Z] 35356672,130957312,113246208,21307392,0,0,15515,2505,8148,153,16384,130990080,24518656,10788864,0,18446744073709551615,18446744073709551615,35356672,130957312,113246208,21307392,0,0,15515,2505,8148,153,16384,130990080,24518656,10788864,0
[2014-12-04T21:17:32.815549087Z] 35356672,130039808,113246208,21307392,0,0,15516,2730,8149,153,16384,130072576,24518656,10788864,0,18446744073709551615,18446744073709551615,35356672,130039808,113246208,21307392,0,0,15516,2730,8149,153,16384,130072576,24518656,10788864,0
[2014-12-04T21:17:34.320167699Z] 35356672,130039808,113246208,21323776,0,0,15516,2730,8149,153,16384,130072576,24518656,10788864,0,18446744073709551615,18446744073709551615,35356672,130039808,113246208,21323776,0,0,15516,2730,8149,153,16384,130072576,24518656,10788864,0
[2014-12-04T21:17:35.120040927Z] 35356672,140693504,117440512,21307392,0,0,19666,5301,12300,153,16384,140726272,24518656,10788864,0,18446744073709551615,18446744073709551615,35356672,140693504,117440512,21307392,0,0,19666,5301,12300,153,16384,140726272,24518656,10788864,0
[2014-12-04T21:17:35.867291255Z] 35356672,151269376,127926272,21307392,0,0,19696,5304,12335,153,16384,142905344,24518656,10788864,0,18446744073709551615,18446744073709551615,35356672,151269376,127926272,21307392,0,0,19696,5304,12335,153,16384,142905344,24518656,10788864,0
[2014-12-04T21:17:36.896428427Z] 35356672,151269376,127926272,21307392,0,0,19696,5304,12352,153,16384,151302144,24518656,10788864,0,18446744073709551615,18446744073709551615,35356672,151269376,127926272,21307392,0,0,19696,5304,12352,153,16384,151302144,24518656,10788864,0
[2014-12-04T21:17:37.819507621Z] 35356672,150134784,127926272,21323776,0,0,19700,5585,12356,153,16384,150167552,24518656,10788864,0,18446744073709551615,18446744073709551615,35356672,150134784,127926272,21323776,0,0,19700,5585,12356,153,16384,150167552,24518656,10788864,0
[2014-12-04T21:17:38.899230801Z] 35356672,158437376,127926272,21307392,0,0,24216,8074,16873,153,16384,158470144,24518656,10788864,0,18446744073709551615,18446744073709551615,35356672,158437376,127926272,21307392,0,0,24216,8074,16873,153,16384,158470144,24518656,10788864,0
