2014-12-04T22:18:05.991982470Z cache,rss,rss_huge,mapped_file,writeback,swap,pgpgin,pgpgout,pgfault,pgmajfault,inactive_anon,active_anon,inactive_file,active_file,unevictable,hierarchical_memory_limit,hierarchical_memsw_limit,total_cache,total_rss,total_rss_huge,total_mapped_file,total_writeback,total_swap,total_pgpgin,total_pgpgout,total_pgfault,total_pgmajfault,total_inactive_anon,total_active_anon,total_inactive_file,total_active_file,total_unevictable
2014-12-04T22:18:05.994429140Z 77824,74756096,65011712,32768,0,0,3012,583,3680,0,16384,74768384,32768,0,0,18446744073709551615,18446744073709551615,77824,74756096,65011712,32768,0,0,3012,583,3680,0,16384,74768384,32768,0,0
[2014-12-04T22:18:06.999706330Z] 81920,100646912,88080384,32768,0,0,3968,838,4691,0,16384,100651008,32768,0,0,18446744073709551615,18446744073709551615,81920,100646912,88080384,32768,0,0,3968,838,4691,0,16384,100651008,32768,0,0
[2014-12-04T22:18:08.003682306Z] 81920,100646912,88080384,32768,0,0,3968,838,4691,0,16384,100651008,32768,0,0,18446744073709551615,18446744073709551615,81920,100646912,88080384,32768,0,0,3968,838,4691,0,16384,100651008,32768,0,0
[2014-12-04T22:18:09.018254351Z] 81920,107429888,94371840,32768,0,0,4113,860,4837,0,16384,107462656,32768,0,0,18446744073709551615,18446744073709551615,81920,107429888,94371840,32768,0,0,4113,860,4837,0,16384,107462656,32768,0,0
[2014-12-04T22:18:10.018367812Z] 81920,112136192,98566144,32768,0,0,4276,896,5002,0,16384,112168960,32768,0,0,18446744073709551615,18446744073709551615,81920,112136192,98566144,32768,0,0,4276,896,5002,0,16384,112168960,32768,0,0
[2014-12-04T22:18:11.024351622Z] 81920,114380800,100663296,32768,0,0,4345,928,5073,0,16384,114413568,32768,0,0,18446744073709551615,18446744073709551615,81920,114380800,100663296,32768,0,0,4345,928,5073,0,16384,114413568,32768,0,0
[2014-12-04T22:18:12.029582831Z] 81920,114380800,100663296,32768,0,0,4345,928,5073,0,16384,114413568,32768,0,0,18446744073709551615,18446744073709551615,81920,114380800,100663296,32768,0,0,4345,928,5073,0,16384,114413568,32768,0,0
[2014-12-04T22:18:13.033335770Z] 81920,114380800,100663296,32768,0,0,4345,928,5073,0,16384,114413568,32768,0,0,18446744073709551615,18446744073709551615,81920,114380800,100663296,32768,0,0,4345,928,5073,0,16384,114413568,32768,0,0
[2014-12-04T22:18:14.040737944Z] 81920,114380800,100663296,32768,0,0,4345,928,5073,0,16384,114413568,32768,0,0,18446744073709551615,18446744073709551615,81920,114380800,100663296,32768,0,0,4345,928,5073,0,16384,114413568,32768,0,0
[2014-12-04T22:18:15.047134170Z] 81920,121061376,106954752,32768,0,0,4449,934,5195,0,16384,121085952,32768,0,0,18446744073709551615,18446744073709551615,81920,121061376,106954752,32768,0,0,4449,934,5195,0,16384,121085952,32768,0,0
[2014-12-04T22:18:16.051413098Z] 81920,121061376,106954752,32768,0,0,4449,934,5195,0,16384,121094144,32768,0,0,18446744073709551615,18446744073709551615,81920,121061376,106954752,32768,0,0,4449,934,5195,0,16384,121094144,32768,0,0
[2014-12-04T22:18:17.057612839Z] 81920,121061376,106954752,32768,0,0,4449,934,5195,0,16384,121094144,32768,0,0,18446744073709551615,18446744073709551615,81920,121061376,106954752,32768,0,0,4449,934,5195,0,16384,121094144,32768,0,0
[2014-12-04T22:18:18.063451280Z] 81920,121061376,106954752,32768,0,0,4449,934,5195,0,16384,121094144,32768,0,0,18446744073709551615,18446744073709551615,81920,121061376,106954752,32768,0,0,4449,934,5195,0,16384,121094144,32768,0,0
[2014-12-04T22:18:19.069328839Z] 81920,121061376,106954752,32768,0,0,4449,934,5195,0,16384,121094144,32768,0,0,18446744073709551615,18446744073709551615,81920,121061376,106954752,32768,0,0,4449,934,5195,0,16384,121094144,32768,0,0
[2014-12-04T22:18:20.078003650Z] 81920,123158528,109051904,32768,0,0,4450,934,5202,0,16384,123191296,32768,0,0,18446744073709551615,18446744073709551615,81920,123158528,109051904,32768,0,0,4450,934,5202,0,16384,123191296,32768,0,0
